"Wahlkreis-
schlüssel",Wahlkreisname,Wahlvorschlagsträger,"Listenplatz-
nummer","Bewerber im
Stimmkreis",Titel,(Adels)zusatz,Vorname,Nachname,Geburtsjahr
1,Oberbayern,CSU,101,121,,,Ilse,Aigner,1964
1,Oberbayern,CSU,102,122,Dr.,,Marcel,Huber,1958
1,Oberbayern,CSU,103,108,Dr.,,Ludwig,Spaenle,1961
1,Oberbayern,CSU,104,124,,,Kerstin,Schreyer,1971
1,Oberbayern,CSU,105,,Dr.,,Marion,Kiechle,1960
1,Oberbayern,CSU,106,112,,,Michaela,Kaniber,1977
1,Oberbayern,CSU,107,117,Dr.,,Florian,Herrmann,1971
1,Oberbayern,CSU,108,101,,,Georg,Eisenreich,1970
1,Oberbayern,CSU,109,,,,Daniel,Artmann,1988
1,Oberbayern,CSU,110,107,,,Markus,Blume,1975
1,Oberbayern,CSU,111,116,,,Ulrike,Scharf,1967
1,Oberbayern,CSU,112,,Dr.,,Thomas,Goppel,1947
1,Oberbayern,CSU,113,106,,,Josef,Schmid,1969
1,Oberbayern,CSU,114,123,,,Ernst,Weidenbusch,1963
1,Oberbayern,CSU,115,105,,,Mechthilde,Wittmann,1967
1,Oberbayern,CSU,116,,,,Markus,Fröschl,1965
1,Oberbayern,CSU,117,,,,Johann,Schwaiger,1957
1,Oberbayern,CSU,118,,,,Thomas,Schreder,1966
1,Oberbayern,CSU,119,115,,,Tanja,Schorer-Dremel,1964
1,Oberbayern,CSU,120,109,Dr.,,Hans,Theiss,1977
1,Oberbayern,CSU,121,111,,,Martin,Bachhuber,1955
1,Oberbayern,CSU,122,102,,,Robert,Brannekämper,1965
1,Oberbayern,CSU,123,120,,,Alex,Dorow,1964
1,Oberbayern,CSU,124,129,Dr.,,Ute,Eiling-Hütig,1967
1,Oberbayern,CSU,125,125,,,Matthias,Enghuber,1984
1,Oberbayern,CSU,126,119,,,Alfred,Grob,1965
1,Oberbayern,CSU,127,,,,August,Haas,1961
1,Oberbayern,CSU,128,,,,Lutz,Heese,1948
1,Oberbayern,CSU,129,,,,Alexander,Heimisch,1978
1,Oberbayern,CSU,130,110,Dr.,,Martin,Huber,1977
1,Oberbayern,CSU,131,114,,,Thomas,Huber,1972
1,Oberbayern,CSU,132,,,,Georg,Kittenrainer,1982
1,Oberbayern,CSU,133,131,,,Harald,Kühn,1963
1,Oberbayern,CSU,134,128,,,Otto,Lederer,1970
1,Oberbayern,CSU,135,103,,,Andreas,Lorenz,1971
1,Oberbayern,CSU,136,118,,,Benjamin,Miskowitsch,1984
1,Oberbayern,CSU,137,,,,Christian,Moser,1989
1,Oberbayern,CSU,138,,,,Rolf-Jürgen,Picker,1953
1,Oberbayern,CSU,139,104,,,Tina,Pickert,1984
1,Oberbayern,CSU,140,,,,Stephanie,Pollmann,1990
1,Oberbayern,CSU,141,,,,Georg,Scheitz,1967
1,Oberbayern,CSU,142,,Dr.,,Matthias,Schickel,1969
1,Oberbayern,CSU,143,113,,,Bernhard,Seidenath,1968
1,Oberbayern,CSU,144,130,,,Klaus,Steiner,1953
1,Oberbayern,CSU,145,127,,,Klaus,Stöttner,1963
1,Oberbayern,CSU,146,126,,,Karl,Straub,1971
1,Oberbayern,SPD,201,124,,,Natascha,Kohnen,1967
1,Oberbayern,SPD,202,107,,,Markus,Rinderspacher,1969
1,Oberbayern,SPD,203,114,,,Doris,Rauscher,1967
1,Oberbayern,SPD,204,106,,,Florian,Ritter,1962
1,Oberbayern,SPD,205,116,,,Gertrud,Eichinger,1966
1,Oberbayern,SPD,206,113,,,Martin,Güll,1953
1,Oberbayern,SPD,207,108,,,Isabell,Zacharias,1965
1,Oberbayern,SPD,208,130,,,Sepp,Parzinger,1993
1,Oberbayern,SPD,209,128,,,Alexandra,Burgmaier,1968
1,Oberbayern,SPD,210,110,,,Günther,Knoblauch,1948
1,Oberbayern,SPD,211,104,,,Ruth,Waldmann,1971
1,Oberbayern,SPD,212,115,,,Christian,De Lapuente,1982
1,Oberbayern,SPD,213,123,,,Annette,Ganssmüller-Maluche,1961
1,Oberbayern,SPD,214,103,,von,Florian,Brunn,1969
1,Oberbayern,SPD,215,121,,,Verena,Schmidt-Völlmecke,1978
1,Oberbayern,SPD,216,118,,,Peter,Falk,1964
1,Oberbayern,SPD,217,101,,,Micky,Wenngatz,1960
1,Oberbayern,SPD,218,120,,,Christian,Winklmeier,1991
1,Oberbayern,SPD,219,129,,,Christiane,Kern,1973
1,Oberbayern,SPD,220,102,Dr.,,Mike,Malm,1974
1,Oberbayern,SPD,221,112,,,Susanne,Aigner,1977
1,Oberbayern,SPD,222,119,Dr.,,Christoph,Spaeth,1981
1,Oberbayern,SPD,223,105,,,Diana,Stachowitz,1963
1,Oberbayern,SPD,224,126,,,Markus,Käser,1975
1,Oberbayern,SPD,225,127,,,Britta,Promann,1968
1,Oberbayern,SPD,226,109,Dr.,,Michael,Ott,1964
1,Oberbayern,SPD,227,131,,,Dominik,Streit,1983
1,Oberbayern,SPD,228,125,,,Andreas,Fischer,1986
1,Oberbayern,SPD,229,111,,,Robert,Kühn,1982
1,Oberbayern,SPD,230,122,,,Kilian,Maier,1993
1,Oberbayern,SPD,231,117,,,Markus,Grill,1972
1,Oberbayern,FREIE WÄHLER,301,111,,,Florian,Streibl,1963
1,Oberbayern,FREIE WÄHLER,302,103,Dr.,,Michael,Piazolo,1959
1,Oberbayern,FREIE WÄHLER,303,115,,,Eva,Gottstein,1949
1,Oberbayern,FREIE WÄHLER,304,117,,,Benno,Zierer,1956
1,Oberbayern,FREIE WÄHLER,305,123,,,Nikolaus,Kraus,1965
1,Oberbayern,FREIE WÄHLER,306,125,,,Roland,Weigert,1968
1,Oberbayern,FREIE WÄHLER,307,127,,,Mary,Fischer,1962
1,Oberbayern,FREIE WÄHLER,308,110,,,Johann,Krichenbauer,1962
1,Oberbayern,FREIE WÄHLER,309,131,,,Susann,Enders,1967
1,Oberbayern,FREIE WÄHLER,310,104,,,Felix,Stahl,1977
1,Oberbayern,FREIE WÄHLER,311,113,,,Martina,Purkhardt,1981
1,Oberbayern,FREIE WÄHLER,312,118,,,Hans,Friedl,1957
1,Oberbayern,FREIE WÄHLER,313,105,,,Lilian,Edenhofer,1967
1,Oberbayern,FREIE WÄHLER,314,112,,,Michael,Koller,1976
1,Oberbayern,FREIE WÄHLER,315,116,,,Rainer,Mehringer,1963
1,Oberbayern,FREIE WÄHLER,316,119,,,Petra,Flauger,1970
1,Oberbayern,FREIE WÄHLER,317,129,,,Matthias,Vilsmayer,1972
1,Oberbayern,FREIE WÄHLER,318,128,,,Christine,Degenhart,1964
1,Oberbayern,FREIE WÄHLER,319,121,,,Gisela,Hölscher,1965
1,Oberbayern,FREIE WÄHLER,320,109,,,Ute,Schiller-Schulze,1962
1,Oberbayern,FREIE WÄHLER,321,120,,,Georg,Stockinger,1960
1,Oberbayern,FREIE WÄHLER,322,130,Dr.,,Lothar,Seissiger,1949
1,Oberbayern,FREIE WÄHLER,323,106,,,Karl-Heinz,Wittmann,1946
1,Oberbayern,FREIE WÄHLER,324,102,,,Martin,Blasi,1967
1,Oberbayern,FREIE WÄHLER,325,114,,,Markus,Erhorn,1989
1,Oberbayern,FREIE WÄHLER,326,107,Dr.,,Jörg,Breyer,1964
1,Oberbayern,FREIE WÄHLER,327,126,,,Albert,Gürtner,1960
1,Oberbayern,FREIE WÄHLER,328,122,,,Markus,Saller,1969
1,Oberbayern,FREIE WÄHLER,329,124,Dr.,,Ilse,Ertl,1965
1,Oberbayern,FREIE WÄHLER,330,108,,,Harald,Müller,1967
1,Oberbayern,FREIE WÄHLER,331,101,,,Linus,Springer,1995
1,Oberbayern,FREIE WÄHLER,332,,,,Josef,Blank,1961
1,Oberbayern,FREIE WÄHLER,333,,,,Gökhan,Deger,1973
1,Oberbayern,FREIE WÄHLER,334,,,,Fritz,Grübl,1944
1,Oberbayern,FREIE WÄHLER,335,,,,Bernd,Heilmeier,1959
1,Oberbayern,FREIE WÄHLER,336,,,,Benedikt,Hoigt,1980
1,Oberbayern,FREIE WÄHLER,337,,,,Maria,Kaltner,1962
1,Oberbayern,FREIE WÄHLER,338,,,,Andreas,Obermüller,1963
1,Oberbayern,FREIE WÄHLER,339,,,,Maria,Scharlach,1964
1,Oberbayern,FREIE WÄHLER,340,,Dr.,,"Thorsten, genannt dr. thosch",Schüler,1966
1,Oberbayern,FREIE WÄHLER,341,,,,Barbara,Stein,1970
1,Oberbayern,FREIE WÄHLER,342,,,,Renate,Wengenmaier,1968
1,Oberbayern,GRÜNE,401,104,,,Katharina,Schulze,1985
1,Oberbayern,GRÜNE,402,109,,,Ludwig,Hartmann,1978
1,Oberbayern,GRÜNE,403,130,,,Gisela,Sengl,1960
1,Oberbayern,GRÜNE,404,124,Dr.,,Markus,Büchler,1973
1,Oberbayern,GRÜNE,405,103,,,Gülseren,Demirel,1964
1,Oberbayern,GRÜNE,406,117,,,Johannes,Becher,1988
1,Oberbayern,GRÜNE,407,123,,,Claudia,Köhler,1966
1,Oberbayern,GRÜNE,408,131,,,Andreas,Krahl,1989
1,Oberbayern,GRÜNE,409,120,,,Gabriele,Triebel,1960
1,Oberbayern,GRÜNE,410,108,,,Christian,Hierneis,1963
1,Oberbayern,GRÜNE,411,119,,,Stephanie,Kürten,1970
1,Oberbayern,GRÜNE,412,118,Dr.,,Martin,Runge,1958
1,Oberbayern,GRÜNE,413,107,,,Susanne,Kurz,1974
1,Oberbayern,GRÜNE,414,112,Dr.,,Bernhard,Zimmer,1961
1,Oberbayern,GRÜNE,415,,,,Marina,Müller,1993
1,Oberbayern,GRÜNE,416,101,,,Florian,Siekmann,1995
1,Oberbayern,GRÜNE,417,,,,Susanne,Günther,1972
1,Oberbayern,GRÜNE,418,128,,,Martin,Knobel,1987
1,Oberbayern,GRÜNE,419,116,,,Ursula,Frank-Mayer,1958
1,Oberbayern,GRÜNE,420,114,,von,Thomas,Sarnowski,1988
1,Oberbayern,GRÜNE,421,122,,,Judith,Bogner,1968
1,Oberbayern,GRÜNE,422,106,,,Hep,Monatzeder,1951
1,Oberbayern,GRÜNE,423,125,,,Karola,Schwarz,1971
1,Oberbayern,GRÜNE,424,127,,,Leonhard,Hinterholzer,1964
1,Oberbayern,GRÜNE,425,129,,,Anne,Franke,1954
1,Oberbayern,GRÜNE,426,115,,,Klaus,Bittlmayer,1971
1,Oberbayern,GRÜNE,427,,,,Waltraud,Gruber,1957
1,Oberbayern,GRÜNE,428,110,Dr.,,Thorsten,Kellermann,1977
1,Oberbayern,GRÜNE,429,,,,Helga,Stieglmeier,1956
1,Oberbayern,GRÜNE,430,121,,,Thomas,Tomaschek,1975
1,Oberbayern,GRÜNE,431,,,,Anna,Hanusch,1976
1,Oberbayern,GRÜNE,432,126,,,Wilhelm,Reim,1980
1,Oberbayern,GRÜNE,433,,,,Marese,Hoffmann,1948
1,Oberbayern,GRÜNE,434,113,,,Thomas,Kreß,1962
1,Oberbayern,GRÜNE,435,,,,Katrin,Habenschaden,1977
1,Oberbayern,GRÜNE,436,111,,,Hans,Urban,1978
1,Oberbayern,GRÜNE,437,,,,Barbara,Schwendner,1963
1,Oberbayern,GRÜNE,438,105,,,Benjamin,Adjei,1990
